CG/TG,CONSUMER_ID,PRODUCT_ID,PRICE,TRX_DATE,Offer_Type,Type,Validity,Voice_Benefit,Data_Benefit,Voice_Price,Data_Price,Combo_Price,Product_Description
TG,1.55E+11,P151,350,2022-03-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359781746,P151,389,2022-05-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719512208,P151,253,2022-05-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,385,2022-01-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,190,2022-04-13,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.46E+11,P151,213,2022-01-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719513410,P151,409,2022-05-03,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,77309411451,P151,136,2022-01-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489303145,P151,428,2022-04-01,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589977412,P151,172,2022-01-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,77309425809,P151,222,2022-03-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589945973,P151,50,2022-01-31,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949682679,P151,191,2022-01-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,25210,P151,459,2022-01-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.46E+11,P151,326,2022-02-23,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.63E+11,P151,202,2022-03-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,60129570610,P151,223,2022-02-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.37E+11,P151,78,2022-02-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,15,2022-05-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359740345,P151,356,2022-02-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,466,2022-04-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.03E+11,P151,74,2022-04-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,68719487166,P151,193,2022-01-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,25769832292,P151,383,2022-01-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539660991,P151,474,2022-01-13,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589959463,P151,91,2022-03-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,85899349418,P151,197,2022-05-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539633182,P151,176,2022-04-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,85899386383,P151,308,2022-05-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,23352,P151,410,2022-04-18,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,44068,P151,89,2022-05-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.55E+11,P151,199,2022-03-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,42949709348,P151,19,2022-03-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.63E+11,P151,124,2022-01-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.03E+11,P151,244,2022-02-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,17179888017,P151,20,2022-01-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.37E+11,P151,267,2022-03-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,85899382516,P151,60,2022-01-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949683361,P151,370,2022-02-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.29E+11,P151,244,2022-01-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589949028,P151,458,2022-05-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949693090,P151,188,2022-05-23,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17179896760,P151,149,2022-03-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539615201,P151,381,2022-05-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539642632,P151,133,2022-04-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489298666,P151,404,2022-03-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,85899374699,P151,221,2022-03-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.29E+11,P151,18,2022-03-23,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949674238,P151,339,2022-04-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17179915620,P151,412,2022-04-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.29E+11,P151,26,2022-05-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719497874,P151,164,2022-01-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,85899368941,P151,8,2022-04-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17571,P151,388,2022-05-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.55E+11,P151,287,2022-01-16,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539645797,P151,49,2022-02-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,354,2022-04-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489324283,P151,231,2022-01-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,17179889621,P151,215,2022-04-01,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539627046,P151,278,2022-02-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.20E+11,P151,196,2022-05-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,21366,P151,142,2022-01-13,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589975746,P151,435,2022-02-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17179910096,P151,54,2022-01-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949689567,P151,94,2022-02-23,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719494776,P151,412,2022-04-29,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,60129572759,P151,499,2022-05-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51278,P151,195,2022-02-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,42949705812,P151,17,2022-02-23,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,94489315488,P151,85,2022-03-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,286,2022-01-31,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539651876,P151,493,2022-04-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
